Transporter_substrate_category	Transporter_gene	Transporter description	Reference_gene	Reference_species	Required by bifidoAnnotator clusters	
HMO	GltC	Lacto-N-biose/galacto-N-biose ABC transporter-1 permease component 2	"BLLJ_1624, BLJ_1684, Bbr_1588, BBSC_1790"	"Bifidobacterium longum subsp. longum JCM 1217, Bifidobacterium longum subsp. suis JDM301, Bifidobacterium breve UCC2003, Bifidobacterium scardovii JCM 12489 = DSM 13734"	"GH112 - GNB/LNB I phosphorylase; GH112 - GalHexNAcP; GH136 - Lacto-N-biosidase (LnbX); GH20 - extracellular lacto-N-biosidase (BBPR_1438); GH42 - β-galactosidase A (Bga42A-LntA-BbgII-LacA-GosG-lacZ5, Blon_2016-Bbr_0529-BLD_0926)"	
HMO	GltC_LNT	Type I chain HMO ABC transporter permease component 2	"Blon_2175, BPSE_1662, BBPR_1056"	"Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088, B. pseudocatenulatum JCM1200, B. bifidum PRL2010"	"GH2 - β-galactosidase (Bga2A-BbgIV-lacZ6, Bbr_1552); GH2 - β-galactosidase (Bga2A-lacZ, longum-infantis-pseudocatenulatum); GH42 - β-galactosidase A (Bga42A-LntA-BbgII-LacA-GosG-lacZ5, Blon_2016-Bbr_0529-BLD_0926)"	
HMO constituent	GltF	Lacto-N-biose/galacto-N-biose ABC transporter-2 substrate-binding component	Blon_0883	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	GH112 - GNB/LNB I phosphorylase; GH112 - GalHexNAcP	
HMO constituent	GltG	Lacto-N-biose/galacto-N-biose ABC transporter-2 permease component 1	Blon_0884	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	GH112 - GNB/LNB I phosphorylase; GH112 - GalHexNAcP	
HMO constituent	GltH	Lacto-N-biose/galacto-N-biose ABC transporter-2 permease component 2	Blon_0885	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	GH112 - GNB/LNB I phosphorylase; GH112 - GalHexNAcP	
Beta-galactoside	GosA	"Beta-1,4-linked galactooligosaccharide ABC transporter substrate-binding component"	Bbr_0417	Bifidobacterium breve UCC2003	GH2 - β-galactosidase S1 (BbgIII)	
Beta-galactoside	GosA2	"Putative beta-1,4-linked galactooligosaccharide ABC transporter substrate-binding component"	Blon_2414	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	GH2 - β-galactosidase S1 (BbgIII)	
Beta-galactoside	GosB	"Beta-1,4-linked galactooligosaccharide ABC transporter permease component 1"	Bbr_0418	Bifidobacterium breve UCC2003	GH2 - β-galactosidase S1 (BbgIII)	
Beta-galactoside	GosB2	"Putative beta-1,4-linked galactooligosaccharide ABC transporter permease component 1"	Blon_2413	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	GH2 - β-galactosidase S1 (BbgIII)	
Beta-galactoside	GosC	"Beta-1,4-linked galactooligosaccharide ABC transporter permease component 2"	Bbr_0419	Bifidobacterium breve UCC2003	GH2 - β-galactosidase S1 (BbgIII)	
Beta-galactoside	GosC2	"Putative beta-1,4-linked galactooligosaccharide ABC transporter permease component 2"	Blon_2412	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	GH2 - β-galactosidase S1 (BbgIII)	
HMO	HmoA	Type II chain HMO ABC transporter substrate-binding component	Blon_2347	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	"GH2 - β-galactosidase (Bga2A-BbgIV-lacZ6, Bbr_1552); GH2 - β-galactosidase (Bga2A-lacZ, longum-infantis-pseudocatenulatum); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPR_0026); GH20 - β-N-acetylglucosaminidase (Hex3, BBSC_1775); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPC_1688); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, Blon_0459-Bbr_1556); GH20 - β-N-acetylglucosaminidase (Hex2, Blon_2335); GH20 - β-N-acetylglucosaminidase-1 (Hex1, Blon_0732); GH20 - β-N-acetylhexosaminidase-2 (NahA-Hex1*, BBSC_1803); GH29 - α-L-fucosidase (BiAfcb-FumA2, BBSC_1794); GH29 - α-L-fucosidase (BiAfcB-FumA2, Blon_2336); GH33 - α-sialidase-2 (NanH2, Blon_2348); GH42 - β-galactosidase A (Bga42A-LntA-BbgII-LacA-GosG-lacZ5, Blon_2016-Bbr_0529-BLD_0926); GH95 - intracellular α-L-fucosidase (FumA1, Blon_2335)"	
HMO	HmoA2	Putative HMO ABC transporter substrate-binding component (low affinity)	Blon_2344	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	"GH2 - β-galactosidase (Bga2A-BbgIV-lacZ6, Bbr_1552); GH2 - β-galactosidase (Bga2A-lacZ, longum-infantis-pseudocatenulatum); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPR_0026); GH20 - β-N-acetylglucosaminidase (Hex3, BBSC_1775); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPC_1688); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, Blon_0459-Bbr_1556); GH20 - β-N-acetylglucosaminidase (Hex2, Blon_2335); GH20 - β-N-acetylglucosaminidase-1 (Hex1, Blon_0732); GH20 - β-N-acetylhexosaminidase-2 (NahA-Hex1*, BBSC_1803); GH29 - α-L-fucosidase (BiAfcb-FumA2, BBSC_1794); GH29 - α-L-fucosidase (BiAfcB-FumA2, Blon_2336); GH33 - α-sialidase-2 (NanH2, Blon_2348); GH42 - β-galactosidase A (Bga42A-LntA-BbgII-LacA-GosG-lacZ5, Blon_2016-Bbr_0529-BLD_0926); GH95 - intracellular α-L-fucosidase (FumA1, Blon_2335)"	
HMO	HmoA3	Putative HMO ABC transporter substrate-binding component	Blon_2350	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	"GH2 - β-galactosidase (Bga2A-BbgIV-lacZ6, Bbr_1552); GH2 - β-galactosidase (Bga2A-lacZ, longum-infantis-pseudocatenulatum); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPR_0026); GH20 - β-N-acetylglucosaminidase (Hex3, BBSC_1775); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPC_1688); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, Blon_0459-Bbr_1556); GH20 - β-N-acetylglucosaminidase (Hex2, Blon_2335); GH20 - β-N-acetylglucosaminidase-1 (Hex1, Blon_0732); GH20 - β-N-acetylhexosaminidase-2 (NahA-Hex1*, BBSC_1803); GH29 - α-L-fucosidase (BiAfcb-FumA2, BBSC_1794); GH29 - α-L-fucosidase (BiAfcB-FumA2, Blon_2336); GH33 - α-sialidase-2 (NanH2, Blon_2348); GH42 - β-galactosidase A (Bga42A-LntA-BbgII-LacA-GosG-lacZ5, Blon_2016-Bbr_0529-BLD_0926); GH95 - intracellular α-L-fucosidase (FumA1, Blon_2335)"	
HMO	HmoA4	Putative HMO ABC transporter substrate-binding component	Blon_2351	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	"GH2 - β-galactosidase (Bga2A-BbgIV-lacZ6, Bbr_1552); GH2 - β-galactosidase (Bga2A-lacZ, longum-infantis-pseudocatenulatum); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPR_0026); GH20 - β-N-acetylglucosaminidase (Hex3, BBSC_1775); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPC_1688); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, Blon_0459-Bbr_1556); GH20 - β-N-acetylglucosaminidase (Hex2, Blon_2335); GH20 - β-N-acetylglucosaminidase-1 (Hex1, Blon_0732); GH20 - β-N-acetylhexosaminidase-2 (NahA-Hex1*, BBSC_1803); GH29 - α-L-fucosidase (BiAfcb-FumA2, BBSC_1794); GH29 - α-L-fucosidase (BiAfcB-FumA2, Blon_2336); GH33 - α-sialidase-2 (NanH2, Blon_2348); GH42 - β-galactosidase A (Bga42A-LntA-BbgII-LacA-GosG-lacZ5, Blon_2016-Bbr_0529-BLD_0926); GH95 - intracellular α-L-fucosidase (FumA1, Blon_2335)"	
HMO	HmoA5	Putative HMO ABC transporter substrate-binding component	Blon_2352	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	"GH2 - β-galactosidase (Bga2A-BbgIV-lacZ6, Bbr_1552); GH2 - β-galactosidase (Bga2A-lacZ, longum-infantis-pseudocatenulatum); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPR_0026); GH20 - β-N-acetylglucosaminidase (Hex3, BBSC_1775); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPC_1688); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, Blon_0459-Bbr_1556); GH20 - β-N-acetylglucosaminidase (Hex2, Blon_2335); GH20 - β-N-acetylglucosaminidase-1 (Hex1, Blon_0732); GH20 - β-N-acetylhexosaminidase-2 (NahA-Hex1*, BBSC_1803); GH29 - α-L-fucosidase (BiAfcb-FumA2, BBSC_1794); GH29 - α-L-fucosidase (BiAfcB-FumA2, Blon_2336); GH33 - α-sialidase-2 (NanH2, Blon_2348); GH42 - β-galactosidase A (Bga42A-LntA-BbgII-LacA-GosG-lacZ5, Blon_2016-Bbr_0529-BLD_0926); GH95 - intracellular α-L-fucosidase (FumA1, Blon_2335)"	
HMO	HmoA6	Putative HMO ABC transporter substrate-binding component	Blon_2354	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	"GH2 - β-galactosidase (Bga2A-BbgIV-lacZ6, Bbr_1552); GH2 - β-galactosidase (Bga2A-lacZ, longum-infantis-pseudocatenulatum); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPR_0026); GH20 - β-N-acetylglucosaminidase (Hex3, BBSC_1775); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPC_1688); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, Blon_0459-Bbr_1556); GH20 - β-N-acetylglucosaminidase (Hex2, Blon_2335); GH20 - β-N-acetylglucosaminidase-1 (Hex1, Blon_0732); GH20 - β-N-acetylhexosaminidase-2 (NahA-Hex1*, BBSC_1803); GH29 - α-L-fucosidase (BiAfcb-FumA2, BBSC_1794); GH29 - α-L-fucosidase (BiAfcB-FumA2, Blon_2336); GH33 - α-sialidase-2 (NanH2, Blon_2348); GH42 - β-galactosidase A (Bga42A-LntA-BbgII-LacA-GosG-lacZ5, Blon_2016-Bbr_0529-BLD_0926); GH95 - intracellular α-L-fucosidase (FumA1, Blon_2335)"	
HMO	HmoB	Putative HMO ABC transporter permease component 1	Blon_2346	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	"GH2 - β-galactosidase (Bga2A-BbgIV-lacZ6, Bbr_1552); GH2 - β-galactosidase (Bga2A-lacZ, longum-infantis-pseudocatenulatum); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPR_0026); GH20 - β-N-acetylglucosaminidase (Hex3, BBSC_1775); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, BBPC_1688); GH20 - β-N-acetylglucosaminidase-2 (NahA-Hex1*, Blon_0459-Bbr_1556); GH20 - β-N-acetylglucosaminidase (Hex2, Blon_2335); GH20 - β-N-acetylglucosaminidase-1 (Hex1, Blon_0732); GH20 - β-N-acetylhexosaminidase-2 (NahA-Hex1*, BBSC_1803); GH29 - α-L-fucosidase (BiAfcb-FumA2, BBSC_1794); GH29 - α-L-fucosidase (BiAfcB-FumA2, Blon_2336); GH33 - α-sialidase-2 (NanH2, Blon_2348); GH42 - β-galactosidase A (Bga42A-LntA-BbgII-LacA-GosG-lacZ5, Blon_2016-Bbr_0529-BLD_0926); GH95 - intracellular α-L-fucosidase (FumA1, Blon_2335)"	
